SampleId,Threshold,PredictionProbabilityMean,PredictionProbabilityMax,GroundTruthPixels,PredictedPixels,TruePositivePixels,FalsePositivePixels,FalseNegativePixels,TrueNegativePixels,Dice,IoU,Precision,Recall,BestThreshold,Samples,TP,FP,FN,TN,GTArea,PredArea,ProbabilityMean,ProbabilityMax,RunTag,FeatureConfig,ModelName,Modelo,ShortLabel,ModelRunId,ExperimentId,ExperimentOrder,Specificity,FalsePositiveRate,FalseNegativeRate,BalancedAccuracy,MCC,AreaRatio,AbsoluteAreaError,RelativeAreaError,FPBurden,FNBurden,PredictedPositiveFraction,PlumeSizeBin,IsEmptyPrediction,IsNearEmptyPrediction,IsSevereFalseNegative,IsSevereFalsePositive,IsOversegmented,IsUndersegmented,IsSaturatedPrediction,IsAcceptablePrediction,PrimaryQualityCategory
1aa936e5-83f9-4e0c-88f7-af7d9a50e57e,0.3,0.0515,0.9999,452,2119,448,1671,4,37877,0.3485,0.211,0.2114,0.9912,0.3,0.0515,448,1671,4,37877,452,2119,0.0515,0.9999,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9577,0.0423,0.0088,0.9744,0.4478,4.6881,1667,3.6881,3.6969,0.0088,0.053,Pequeña,False,False,False,True,True,False,False,False,FP severo
ad08f042-2a02-4b28-bc46-4d116b66632a,0.3,0.0242,0.9987,1638,1018,706,312,932,38050,0.5316,0.3621,0.6935,0.431,0.3,0.0242,706,312,932,38050,1638,1018,0.0242,0.9987,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9919,0.0081,0.569,0.7114,0.5321,0.6215,620,-0.3785,0.1905,0.569,0.0254,Grande,False,False,False,False,False,False,False,True,Aceptable
43187285-c9a9-4b94-9e16-c035ddddc1b4,0.3,0.0105,0.9987,1256,434,295,139,961,38605,0.3491,0.2115,0.6797,0.2349,0.3,0.0105,295,139,961,38605,1256,434,0.0105,0.9987,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9964,0.0036,0.7651,0.6156,0.3893,0.3455,822,-0.6545,0.1107,0.7651,0.0108,Media,False,False,False,False,False,False,False,False,Otros
5f129616-2b9b-4461-bbe7-ec1442caa9a3,0.3,0.022,0.9997,784,911,686,225,98,38991,0.8094,0.6799,0.753,0.875,0.3,0.022,686,225,98,38991,784,911,0.022,0.9997,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9943,0.0057,0.125,0.9346,0.8077,1.162,127,0.162,0.287,0.125,0.0228,Media,False,False,False,False,False,False,False,True,Aceptable
036334fd-fb89-46cd-958c-ff1bfcfa18db,0.3,0.0162,0.9997,6332,667,621,46,5711,33622,0.1775,0.0974,0.931,0.0981,0.3,0.0162,621,46,5711,33622,6332,667,0.0162,0.9997,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9986,0.0014,0.9019,0.5484,0.2757,0.1053,5665,-0.8947,0.0073,0.9019,0.0167,Grande,False,False,True,False,False,True,False,False,FN severo
c6972a91-b63f-4f25-953c-3b2e6b1cab81,0.3,0.0119,0.9998,790,494,475,19,315,39191,0.7399,0.5871,0.9615,0.6013,0.3,0.0119,475,19,315,39191,790,494,0.0119,0.9998,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9995,0.0005,0.3987,0.8004,0.7569,0.6253,296,-0.3747,0.0241,0.3987,0.0124,Media,False,False,False,False,False,False,False,True,Aceptable
7904e47a-1d48-414c-baf5-c629aed0c7fd,0.3,0.0921,0.9957,2193,3858,1878,1980,315,35827,0.6207,0.45,0.4868,0.8564,0.3,0.0921,1878,1980,315,35827,2193,3858,0.0921,0.9957,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9476,0.0524,0.1436,0.902,0.62,1.7592,1665,0.7592,0.9029,0.1436,0.0964,Grande,False,False,False,False,False,False,False,True,Aceptable
dd3821a2-7d87-47af-9008-6dbb831895d8,0.3,0.0403,0.9991,1213,1660,1210,450,3,38337,0.8423,0.7276,0.7289,0.9975,0.3,0.0403,1210,450,3,38337,1213,1660,0.0403,0.9991,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9884,0.0116,0.0025,0.993,0.8477,1.3685,447,0.3685,0.371,0.0025,0.0415,Media,False,False,False,False,False,False,False,True,Aceptable
d6d3664a-bc38-4253-8938-faebf198da11,0.3,0.0211,0.9998,676,858,598,260,78,39064,0.7797,0.6389,0.697,0.8846,0.3,0.0211,598,260,78,39064,676,858,0.0211,0.9998,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.9934,0.0066,0.1154,0.939,0.7811,1.2692,182,0.2692,0.3846,0.1154,0.0214,Pequeña,False,False,False,False,False,False,False,True,Aceptable
db77c88b-cfdb-4590-a51d-4d25cddb9773,0.3,0.0537,0.9975,1899,2278,1629,649,270,37452,0.78,0.6393,0.7151,0.8578,0.3,0.0537,1629,649,270,37452,1899,2278,0.0537,0.9975,101622,ConfigB,SimpleUNet,U-Net simple,B · U-Net simple,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,E1,1,0.983,0.017,0.1422,0.9204,0.7715,1.1996,379,0.1996,0.3418,0.1422,0.057,Grande,False,False,False,False,False,False,False,True,Aceptable
