FigurePath,RunTag,Experiment,ModelName,ModelLabel,FeatureConfig,ConfigLabel,RunId,CaseGroup,SampleId,Country,Date,Location,Threshold,Dice,IoU,Precision,Recall,GTPixels,PredPixels,AreaRatio,TP,FP,FN,PredictedPositiveFraction
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase04.png,101622,Experimento 3,TransformerUNet,U-Net Transformer,ConfigC,Configuración C,TransformerUNet_Bs4Ep30_TL2_D005_LR1e4_DatedFull,FixedComparisonCases,63469f68-509c-45de-9a32-d7a9b525b5df,Turkmenistan,2025-03-05,T_24,0.5,0.7958921695790165,0.6609808105959692,0.7425149703682455,0.8575380361583153,723,835,1.1549100968188104,620,215,103,0.020875
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterFixedComparisonCase04.png,101840,Experimento 4,TransformerPlus,TransformerPlus,ConfigC,Configuración C,TransformerUNet_Bs4Ep50_TL4_TH4_SE_D010_LR5e5_TransformerPlus,FixedComparisonCases,63469f68-509c-45de-9a32-d7a9b525b5df,Turkmenistan,2025-03-05,T_24,0.5,0.6502095949463393,0.481711525547473,0.4901685396838703,0.9654218534364843,723,1424,1.9695712309820195,698,726,25,0.0356
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual01BestPredictionsSimpleUNetConfigB.png,101622,Experimento 1,SimpleUNet,U-Net simple,ConfigB,Configuración B,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Mejor predicción,5ca5c35e-073a-45d2-9999-ee690a0ba556,United States of America,2025-03-10,PB_K_0001,0.5,0.9425156517117156,0.891280947372141,0.9398410897391134,0.9452054795146057,876,881,1.0057077625570776,828,53,48,0.022025
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual02ErrorCasesSimpleUNetConfigB.png,101622,Experimento 1,SimpleUNet,U-Net simple,ConfigB,Configuración B,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Caso de error,3a86005a-3926-4eeb-8b85-59933bd52bfe,Turkmenistan,2025-03-07,T_1,0.5,0.4616622768904256,0.3001046324265096,0.7502972652199055,0.3334037832258898,9463,4205,0.44436225298531123,3155,1050,6308,0.105125
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual03WorstPredictionsSimpleUNetConfigB.png,101622,Experimento 1,SimpleUNet,U-Net simple,ConfigB,Configuración B,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Predicción deficiente,1f74ef25-24aa-435d-b707-003a81d62a21,Turkmenistan,2025-03-07,T_7,0.5,4.288164663684321e-10,4.288164663684321e-10,2.71739129696361e-09,5.091649691908528e-10,1964,368,0.18737270875763748,0,368,1964,0.0092
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual04BestPredictionsSimpleUNetConfigC.png,101622,Experimento 1,SimpleUNet,U-Net simple,ConfigC,Configuración C,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Mejor predicción,ea35fc33-3b7a-434e-bed8-c22680100bbb,Turkmenistan,2025-03-08,Te_N_13,0.5,0.9386774560704668,0.8844412675996088,0.9801954053392672,0.9005337215185507,4122,3787,0.9187287724405628,3712,75,410,0.094675
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual05ErrorCasesSimpleUNetConfigC.png,101622,Experimento 1,SimpleUNet,U-Net simple,ConfigC,Configuración C,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Caso de error,d32d208e-5921-4543-b191-6f278884bc2d,Turkmenistan,2025-03-06,T_1,0.5,0.353980705134435,0.2150525855373518,0.8705099778844746,0.2221593482093527,8836,2255,0.25520597555454955,1963,292,6873,0.056375
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual06WorstPredictionsSimpleUNetConfigC.png,101622,Experimento 1,SimpleUNet,U-Net simple,ConfigC,Configuración C,SimpleUNet_Bs4Ep30_D005_LR1e4_DatedFull,Predicción deficiente,d283104f-de72-4b6e-8451-d1787ca573b2,Algeria,2025-03-06,A_13,0.5,3.9385584860423166e-10,3.9385584860423166e-10,1.12866817028367e-09,6.049606771899813e-10,1653,886,0.5359951603145795,0,886,1653,0.02215
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual07BestPredictionsEnhancedUNetConfigB.png,101622,Experimento 2,EnhancedUNet,U-Net mejorada,ConfigB,Configuración B,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Mejor predicción,cf859ba5-9c8b-4474-ac5f-7bf079dda241,Algeria,2025-03-07,P2,0.5,0.945270672235196,0.8962210942491703,0.9583835947175008,0.9325117371288076,1704,1658,0.9730046948356808,1589,69,115,0.04145
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual08ErrorCasesEnhancedUNetConfigB.png,101622,Experimento 2,EnhancedUNet,U-Net mejorada,ConfigB,Configuración B,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Caso de error,d32d208e-5921-4543-b191-6f278884bc2d,Turkmenistan,2025-03-06,T_1,0.5,0.5246601328229007,0.3556198436348848,0.8697589098873797,0.3756224536695764,8836,3816,0.43186962426437303,3319,497,5517,0.0954
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual09WorstPredictionsEnhancedUNetConfigB.png,101622,Experimento 2,EnhancedUNet,U-Net mejorada,ConfigB,Configuración B,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Predicción deficiente,c80e9137-347b-4e8a-bc86-18cb5b73eec6,Kazakhstan,2025-03-05,K_7,0.5,3.1928480194147995e-10,3.1928480194147995e-10,3.716090671231479e-10,2.267573691003234e-09,441,2691,6.1020408163265305,0,2691,441,0.067275
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual10BestPredictionsEnhancedUNetConfigC.png,101622,Experimento 2,EnhancedUNet,U-Net mejorada,ConfigC,Configuración C,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Mejor predicción,7e633c39-a882-4ddf-babf-e8190902eaeb,Turkmenistan,2025-03-08,T_14,0.5,0.9365524986319188,0.8806758184998144,0.955326460532272,0.918502202732927,908,873,0.961453744493392,834,39,74,0.021825
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual11ErrorCasesEnhancedUNetConfigC.png,101622,Experimento 2,EnhancedUNet,U-Net mejorada,ConfigC,Configuración C,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Caso de error,3a86005a-3926-4eeb-8b85-59933bd52bfe,Turkmenistan,2025-03-07,T_1,0.5,0.5865619675837794,0.4149895178810283,0.9809217046628044,0.4183662686866357,9463,4036,0.4265032230793617,3959,77,5504,0.1009
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual12WorstPredictionsEnhancedUNetConfigC.png,101622,Experimento 2,EnhancedUNet,U-Net mejorada,ConfigC,Configuración C,EnhancedUNet_Bs4Ep30_D005_LR1e4_DatedFull,Predicción deficiente,9b5db8ec-0e96-4215-907d-691b33a9a13a,Algeria,2025-03-05,A_8,0.5,2.9770765099800305e-10,2.9770765099800305e-10,1.0638297861023088e-09,4.1339396427722446e-10,2419,940,0.38859032658123194,0,940,2419,0.0235
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual13BestPredictionsTransformerUNetConfigB.png,101622,Experimento 3,TransformerUNet,U-Net Transformer,ConfigB,Configuración B,TransformerUNet_Bs4Ep30_TL2_D005_LR1e4_DatedFull,Mejor predicción,eec4b886-46cd-4f9e-acc1-928bf47dddb8,Turkmenistan,2025-03-14,T_EMIT_227,0.5,0.9533531830492906,0.910864264451134,0.9586541203425566,0.948110547109952,3546,3507,0.9890016920473773,3362,145,184,0.087675
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual14ErrorCasesTransformerUNetConfigB.png,101622,Experimento 3,TransformerUNet,U-Net Transformer,ConfigB,Configuración B,TransformerUNet_Bs4Ep30_TL2_D005_LR1e4_DatedFull,Caso de error,3a86005a-3926-4eeb-8b85-59933bd52bfe,Turkmenistan,2025-03-07,T_1,0.5,0.4220303080151515,0.2674514664118699,0.9213802917391034,0.2736975589904155,9463,2811,0.2970516749445208,2590,221,6873,0.070275
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual15WorstPredictionsTransformerUNetConfigB.png,101622,Experimento 3,TransformerUNet,U-Net Transformer,ConfigB,Configuración B,TransformerUNet_Bs4Ep30_TL2_D005_LR1e4_DatedFull,Predicción deficiente,d43ef731-cfe7-4f2c-8d06-f18a322d490b,Kuwait,2025-03-09,KWT_0001,0.5,3.427004796632281e-10,3.427004796632281e-10,1.2936610591285107e-09,4.662004659831233e-10,2145,773,0.36037296037296035,0,773,2145,0.019325
/data/users/kabasmen/MethaneProjectTFM/Outputs/ResultsChapter_101622_101840/Figures/ChapterPredictionPanels/FigureChapterIndividual16BestPredictionsTransformerUNetConfigC.png,101622,Experimento 3,TransformerUNet,U-Net Transformer,ConfigC,Configuración C,TransformerUNet_Bs4Ep30_TL2_D005_LR1e4_DatedFull,Mejor predicción,ea35fc33-3b7a-434e-bed8-c22680100bbb,Turkmenistan,2025-03-08,Te_N_13,0.5,0.9533007335020416,0.910768512050743,0.9608181370229624,0.9459000485332604,4122,4058,0.9844735565259582,3899,159,223,0.10145
