ModelName,Modelo,SampleId,Fluxrate,FluxrateTH,LogFluxrate,FluxrateBin,FluxrateRelativeUncertainty,FluxrateUncertaintyBin,GTArea,PlumeSizeBin,WindSpeed10m,WindSpeedBin,DeltaDice,DeltaRecall,DeltaPrecision,DeltaFPBurden,DeltaFNBurden,DeltaFalseNegativeRate,DeltaAreaRatio
TransformerUNet,U-Net Transformer,d29a55fc-23bc-4927-a41e-11365cf2b68a,1680.6942,1.6807,3.2255,Bajo,0.3893,Alta,368,Pequeña,4.6538,Alto,-0.4099,-0.5163,0.6601,-1.0027,0.5163,0.5163,-1.519
TransformerUNet,U-Net Transformer,c18da7a8-eed2-49db-b6d8-9d0bcb91013b,4746.4556,4.7465,3.6764,Medio,0.4314,Alta,1162,Media,8.4178,Alto,0.2048,0.1274,0.523,-0.3494,-0.1274,-0.1274,-0.222
TransformerUNet,U-Net Transformer,3986fd15-5303-4fa6-930b-7f2c8e31daea,4480.0312,4.48,3.6513,Medio,0.2988,Baja,1581,Grande,2.0063,Bajo,-0.2592,-0.3593,-0.0189,-0.0601,0.3593,0.3593,-0.4194
TransformerUNet,U-Net Transformer,0d14e6dc-959f-4e96-a8d3-d6bc372f1817,4223.507,4.2235,3.6257,Medio,0.2391,Baja,3536,Grande,1.2369,Bajo,0.0412,0.1114,-0.0621,0.0744,-0.1114,-0.1114,0.1858
TransformerUNet,U-Net Transformer,f11d2aa3-9384-404c-90e9-c3729fc9ad73,3201.8877,3.2019,3.5054,Medio,0.3536,Media,714,Pequeña,3.239,Medio,-0.257,0.0154,-0.2933,1.6134,-0.0154,-0.0154,1.6289
TransformerUNet,U-Net Transformer,9d985b1c-5fdf-46f8-98a9-909c92ba0bc8,3845.3315,3.8453,3.5849,Medio,0.3662,Media,650,Pequeña,3.6639,Medio,0.0678,-0.1338,0.1718,-0.4323,0.1338,0.1338,-0.5662
TransformerUNet,U-Net Transformer,73841ef8-5218-4d03-a2dd-72c84ac34fb4,1147.159,1.1472,3.0596,Bajo,0.3822,Media,417,Pequeña,4.0572,Medio,0.0,0.0,0.0,-1.3213,0.0,0.0,-1.3213
TransformerUNet,U-Net Transformer,1aa936e5-83f9-4e0c-88f7-af7d9a50e57e,2722.4744,2.7225,3.435,Bajo,0.3205,Baja,452,Pequeña,2.4027,Bajo,0.2479,0.0553,0.2288,-1.6195,-0.0553,-0.0553,-1.5642
TransformerUNet,U-Net Transformer,ad08f042-2a02-4b28-bc46-4d116b66632a,4184.1846,4.1842,3.6216,Medio,0.1755,Baja,1638,Grande,0.7284,Bajo,-0.0381,-0.0293,0.003,-0.011,0.0293,0.0293,-0.0403
TransformerUNet,U-Net Transformer,43187285-c9a9-4b94-9e16-c035ddddc1b4,21531.377,21.5314,4.3331,Alto,0.3445,Media,1256,Media,3.0119,Medio,0.0399,0.0311,0.0419,-0.008,-0.0311,-0.0311,0.0231
TransformerUNet,U-Net Transformer,5f129616-2b9b-4461-bbe7-ec1442caa9a3,4803.0938,4.8031,3.6815,Medio,0.4097,Alta,784,Media,6.1538,Alto,-0.2685,-0.1429,-0.3948,0.5128,0.1429,0.1429,0.3699
TransformerUNet,U-Net Transformer,036334fd-fb89-46cd-958c-ff1bfcfa18db,6637.4805,6.6375,3.822,Alto,0.3025,Baja,6332,Grande,2.0656,Bajo,0.3349,0.2437,0.0158,0.0024,-0.2437,-0.2437,0.2461
TransformerUNet,U-Net Transformer,c6972a91-b63f-4f25-953c-3b2e6b1cab81,3263.3662,3.2634,3.5137,Medio,0.3434,Media,790,Media,2.9261,Medio,-0.0123,-0.057,0.0508,-0.0481,0.057,0.057,-0.1051
TransformerUNet,U-Net Transformer,7904e47a-1d48-414c-baf5-c629aed0c7fd,15391.9,15.3919,4.1873,Alto,0.3424,Media,2193,Grande,2.9324,Medio,0.0007,-0.0374,0.0315,-0.1008,0.0374,0.0374,-0.1382
TransformerUNet,U-Net Transformer,dd3821a2-7d87-47af-9008-6dbb831895d8,14694.254,14.6943,4.1671,Alto,0.3921,Alta,1213,Media,4.9889,Alto,-0.0217,0.0049,-0.0345,0.0692,-0.0049,-0.0049,0.0742
TransformerUNet,U-Net Transformer,d6d3664a-bc38-4253-8938-faebf198da11,4718.6807,4.7187,3.6738,Medio,0.4052,Alta,676,Pequeña,5.7884,Alto,0.0263,-0.0222,0.0668,-0.1006,0.0222,0.0222,-0.1228
TransformerUNet,U-Net Transformer,db77c88b-cfdb-4590-a51d-4d25cddb9773,8185.6714,8.1857,3.9131,Alto,0.3707,Media,1899,Grande,3.8521,Medio,0.0212,0.0348,0.0087,-0.0037,-0.0348,-0.0348,0.0311
TransformerUNet,U-Net Transformer,fdf389e8-75ea-44bf-9a3f-e0453560c284,2318.5007,2.3185,3.3652,Bajo,0.3959,Alta,761,Media,4.9704,Alto,-0.0523,-0.0578,-0.0454,0.0329,0.0578,0.0578,-0.025
TransformerUNet,U-Net Transformer,aa7e73c6-1d52-434c-aa4f-e72899242f6a,5969.825,5.9698,3.776,Medio,0.3169,Baja,1939,Grande,2.3485,Bajo,-0.1988,-0.1661,-0.2477,-0.1949,0.1661,0.1661,-0.361
TransformerUNet,U-Net Transformer,dc8cc16a-f9b2-4e11-8167-119d6ebb0971,3872.874,3.8729,3.588,Medio,0.3479,Media,748,Media,3.0708,Medio,-0.0804,-0.0548,-0.099,0.1471,0.0548,0.0548,0.0922
TransformerUNet,U-Net Transformer,5d840532-9a7d-48ed-a05e-941d32529a0c,3366.1228,3.3661,3.5271,Medio,0.4163,Alta,1013,Media,6.4965,Alto,-0.1244,-0.2349,0.078,-0.1106,0.2349,0.2349,-0.3455
TransformerUNet,U-Net Transformer,d42ee5e3-0a1e-472b-8871-256d7317e871,2605.8628,2.6059,3.416,Bajo,0.1389,Baja,639,Pequeña,0.5448,Bajo,-0.1159,-0.4022,0.3182,-0.4225,0.4022,0.4022,-0.8247
